index,value,label,truth,anomaly,doLabel
642,924,924,924,0,FALSE
643,924,924,924,0,FALSE
644,924,924,924,0,FALSE
645,924,924,924,0,FALSE
646,924,924,924,0,FALSE
647,924,924,924,0,FALSE
648,924,924,924,0,FALSE
649,924,924,924,0,FALSE
650,924,924,924,0,FALSE
651,924,924,924,0,FALSE
652,924,924,924,0,FALSE
653,924,924,924,0,FALSE
654,924,924,924,0,FALSE
655,924,924,924,0,FALSE
656,924,924,924,0,FALSE
657,924,924,924,0,FALSE
658,924,924,924,0,FALSE
659,924,924,924,0,FALSE
660,924,924,924,0,FALSE
661,924,924,924,0,FALSE
662,913,913,913,0,FALSE
663,924,924,924,0,FALSE
664,913,913,913,0,FALSE
665,913,913,913,0,FALSE
666,913,913,913,0,FALSE
667,913,913,913,0,FALSE
668,913,913,913,0,FALSE
669,913,913,913,0,FALSE
670,913,913,913,0,FALSE
671,913,913,913,0,FALSE
672,913,913,913,0,FALSE
673,913,913,913,0,FALSE
674,913,913,913,0,FALSE
675,913,913,913,0,FALSE
676,913,913,913,0,FALSE
677,913,913,913,0,FALSE
678,913,913,913,0,FALSE
679,913,913,913,0,FALSE
680,913,913,913,0,FALSE
681,913,913,913,0,FALSE
682,924,924,924,0,FALSE
683,913,913,913,0,FALSE
684,913,913,913,0,FALSE
685,913,913,913,0,FALSE
686,913,913,913,0,FALSE
687,913,913,913,0,FALSE
688,913,913,913,0,FALSE
689,913,913,913,0,FALSE
690,913,913,913,0,FALSE
691,913,913,913,0,FALSE
692,913,913,913,0,FALSE
693,913,913,913,0,FALSE
694,913,913,913,0,FALSE
695,902,902,902,0,FALSE
696,902,902,902,0,FALSE
697,913,913,913,0,FALSE
698,913,913,913,0,FALSE
699,913,913,913,0,FALSE
700,913,913,913,0,FALSE
701,913,913,913,0,FALSE
702,913,913,913,0,FALSE
703,913,913,913,0,FALSE
704,913,913,913,0,FALSE
705,913,913,913,0,FALSE
706,913,913,913,0,FALSE
707,913,913,913,0,FALSE
708,913,913,913,0,FALSE
709,902,902,902,0,FALSE
710,913,913,913,0,FALSE
711,913,913,913,0,FALSE
712,913,913,913,0,FALSE
713,902,902,902,0,FALSE
714,913,913,913,0,FALSE
715,902,902,902,0,FALSE
716,913,913,913,0,FALSE
717,902,902,902,0,FALSE
718,902,902,902,0,FALSE
719,902,902,902,0,FALSE
720,902,902,902,0,FALSE
721,902,902,902,0,FALSE
722,902,902,902,0,FALSE
723,902,902,902,0,FALSE
724,902,902,902,0,FALSE
725,902,902,902,0,FALSE
726,902,902,902,0,FALSE
727,902,902,902,0,FALSE
728,902,902,902,0,FALSE
729,902,902,902,0,FALSE
730,902,902,902,0,FALSE
731,902,902,902,0,FALSE
732,902,902,902,0,FALSE
733,902,902,902,0,FALSE
734,902,902,902,0,FALSE
735,902,902,902,0,FALSE
736,902,902,902,0,FALSE
737,902,902,902,0,FALSE
738,902,902,902,0,FALSE
739,902,902,902,0,FALSE
740,902,902,902,0,FALSE
741,891,891,891,0,FALSE
742,902,902,902,0,FALSE
743,891,891,891,0,FALSE
744,891,891,891,0,FALSE
745,891,891,891,0,FALSE
746,891,891,891,0,FALSE
747,891,891,891,0,FALSE
748,902,902,902,0,FALSE
749,891,891,891,0,FALSE
750,891,891,891,0,FALSE
751,891,891,891,0,FALSE
752,891,891,891,0,FALSE
753,891,891,891,0,FALSE
754,902,902,902,0,FALSE
755,891,891,891,0,FALSE
756,902,902,902,0,FALSE
757,902,902,902,0,FALSE
758,891,891,891,0,FALSE
759,891,891,891,0,FALSE
760,902,902,902,0,FALSE
761,891,891,891,0,FALSE
762,891,891,891,0,FALSE
763,891,891,891,0,FALSE
764,891,891,891,0,FALSE
765,891,891,891,0,FALSE
766,891,891,891,0,FALSE
767,880,880,880,0,FALSE
768,891,891,891,0,FALSE
769,891,891,891,0,FALSE
770,891,891,891,0,FALSE
771,891,891,891,0,FALSE
772,891,891,891,0,FALSE
773,891,891,891,0,FALSE
774,891,891,891,0,FALSE
775,891,891,891,0,FALSE
776,891,891,891,0,FALSE
777,891,891,891,0,FALSE
778,891,891,891,0,FALSE
779,891,891,891,0,FALSE
780,891,891,891,0,FALSE
781,891,891,891,0,FALSE
782,880,880,880,0,FALSE
783,891,891,891,0,FALSE
784,891,891,891,0,FALSE
785,880,880,880,0,FALSE
786,891,891,891,0,FALSE
787,880,880,880,0,FALSE
788,880,880,880,0,FALSE
789,880,880,880,0,FALSE
790,880,880,880,0,FALSE
791,880,880,880,0,FALSE
792,880,880,880,0,FALSE
793,880,880,880,0,FALSE
794,880,880,880,0,FALSE
795,880,880,880,0,FALSE
796,880,880,880,0,FALSE
797,880,880,880,0,FALSE
798,869,869,869,0,FALSE
799,880,880,880,0,FALSE
800,880,880,880,0,FALSE
801,891,891,891,0,FALSE
802,880,880,880,0,FALSE
803,880,880,880,0,FALSE
804,880,880,880,0,FALSE
805,880,880,880,0,FALSE
806,880,880,880,0,FALSE
807,880,880,880,0,FALSE
808,880,880,880,0,FALSE
809,880,880,880,0,FALSE
810,880,880,880,0,FALSE
811,880,880,880,0,FALSE
812,880,880,880,0,FALSE
813,880,880,880,0,FALSE
814,869,869,869,0,FALSE
815,880,880,880,0,FALSE
816,880,880,880,0,FALSE
817,869,869,869,0,FALSE
818,880,880,880,0,FALSE
819,880,880,880,0,FALSE
820,880,880,880,0,FALSE
821,869,869,869,0,FALSE
822,880,880,880,0,FALSE
823,869,869,869,0,FALSE
824,880,880,880,0,FALSE
825,880,880,880,0,FALSE
826,869,869,869,0,FALSE
827,880,880,880,0,FALSE
828,880,880,880,0,FALSE
829,880,880,880,0,FALSE
830,869,869,869,0,FALSE
831,869,869,869,0,FALSE
832,869,869,869,0,FALSE
833,880,880,880,0,FALSE
834,869,869,869,0,FALSE
835,869,869,869,0,FALSE
836,869,869,869,0,FALSE
837,858,858,858,0,FALSE
838,869,869,869,0,FALSE
839,858,858,858,0,FALSE
840,869,869,869,0,FALSE
841,869,869,869,0,FALSE
842,869,869,869,0,FALSE
843,858,858,858,0,FALSE
844,858,858,858,0,FALSE
845,869,869,869,0,FALSE
846,858,858,858,0,FALSE
847,869,869,869,0,FALSE
848,869,869,869,0,FALSE
849,869,869,869,0,FALSE
850,869,869,869,0,FALSE
851,869,869,869,0,FALSE
852,869,869,869,0,FALSE
853,869,869,869,0,FALSE
854,858,858,858,0,FALSE
855,858,858,858,0,FALSE
856,869,869,869,0,FALSE
857,858,858,858,0,FALSE
858,858,858,858,0,FALSE
859,858,858,858,0,FALSE
860,858,858,858,0,FALSE
861,858,858,858,0,FALSE
862,869,869,869,0,FALSE
863,858,858,858,0,FALSE
864,858,858,858,0,FALSE
865,858,858,858,0,FALSE
866,858,858,858,0,FALSE
867,858,858,858,0,FALSE
868,858,858,858,0,FALSE
869,858,858,858,0,FALSE
870,869,869,869,0,FALSE
871,858,858,858,0,FALSE
872,858,858,858,0,FALSE
873,858,858,858,0,FALSE
874,869,869,869,0,FALSE
875,869,869,869,0,FALSE
876,858,858,858,0,FALSE
877,869,869,869,0,FALSE
878,869,869,869,0,FALSE
879,858,858,858,0,FALSE
880,858,858,858,0,FALSE
881,847,847,847,0,FALSE
882,858,858,858,0,FALSE
883,858,858,858,0,FALSE
884,858,858,858,0,FALSE
885,858,858,858,0,FALSE
886,858,858,858,0,FALSE
887,858,858,858,0,FALSE
888,858,858,858,0,FALSE
889,847,847,847,0,FALSE
890,847,847,847,0,FALSE
891,858,858,858,0,FALSE
892,858,858,858,0,FALSE
893,847,847,847,0,FALSE
894,847,847,847,0,FALSE
895,858,858,858,0,FALSE
896,847,847,847,0,FALSE
897,858,858,858,0,FALSE
898,869,869,869,0,FALSE
899,858,858,858,0,FALSE
900,858,858,858,0,FALSE
901,858,858,858,0,FALSE
902,869,869,869,0,FALSE
903,847,847,847,0,FALSE
904,858,858,858,0,FALSE
905,858,858,858,0,FALSE
906,858,858,858,0,FALSE
907,847,847,847,0,FALSE
908,858,858,858,0,FALSE
909,847,847,847,0,FALSE
910,847,847,847,0,FALSE
911,847,847,847,0,FALSE
912,836,836,836,0,FALSE
913,847,847,847,0,FALSE
914,869,869,869,0,FALSE
915,880,880,880,0,FALSE
916,880,880,880,0,FALSE
917,869,869,869,0,FALSE
918,847,847,847,0,FALSE
919,869,869,869,0,FALSE
920,869,869,869,0,FALSE
921,858,858,858,0,FALSE
922,858,858,858,0,FALSE
923,858,858,858,0,FALSE
924,869,869,869,0,FALSE
925,869,869,869,0,FALSE
926,869,869,869,0,FALSE
